HTML_CSS,Thẻ HTML nào sau đây được sử dụng để nhúng một trang web khác vào trang web hiện tại?,`<link>`,`<img>`,`<iframe>`,`<meta>`,c
HTML_CSS,"Thuộc tính `target` của thẻ `<a>` có tác dụng gì khi được đặt là `""_blank""`?",Mở liên kết trong cửa sổ hiện tại.,Mở liên kết trong một tab hoặc cửa sổ mới.,Mở liên kết trong khung (frame) cùng vị trí.,Không có tác dụng gì.,b
HTML_CSS,"Đoạn mã HTML nào sau đây dùng để tạo ra danh sách không có thứ tự, với các mục được hiển thị dưới dạng dấu chấm?",`<ol><li>...</li></ol>`,"`<ol type=""disc""><li>...</li></ol>`","`<ul type=""1""><li>...</li></ul>`",`<ul><li>...</li></ul>`,d
HTML_CSS,"Trong CSS, thuộc tính nào sau đây được sử dụng để thay đổi phông chữ của một phần tử?",`color`,`font-family`,`text-style`,`text-font`,b
HTML_CSS,Thẻ `<iframe>` có thuộc tính `src` dùng để làm gì?,Xác định URL của trang web sẽ được nhúng.,Xác định chiều rộng của iframe.,Xác định chiều cao của iframe.,Xác định tiêu đề của iframe.,a
HTML_CSS,"Điều gì sẽ xảy ra nếu bạn sử dụng thẻ `<iframe src=""https://www.google.com"" width=""500"" height=""300""></iframe>` trong trang HTML của bạn?",Hiển thị một hình ảnh của Google.,Hiển thị trang web Google bên trong một khung.,Hiển thị mã nguồn HTML của trang web Google.,Gây ra lỗi.,b
HTML_CSS,"Bạn muốn tạo một siêu liên kết đến một phần cụ thể của trang web (ví dụ: đến phần có id là ""Topic1""). Bạn sẽ sử dụng thẻ nào và thuộc tính nào?","`<a href=""#Topic1"">`","`<a name=""Topic1"">`","`<a url=""#Topic1"">`","`<a link=""#Topic1"">`",a
HTML_CSS,Thuộc tính `border-style` trong CSS dùng để làm gì?,Thiết lập màu sắc cho đường viền.,"Thiết lập kiểu dáng (ví dụ: solid, dashed, dotted) cho đường viền.",Thiết lập độ rộng của đường viền.,Thiết lập khoảng cách giữa đường viền và nội dung.,b
HTML_CSS,Bạn muốn nhúng một video từ YouTube vào trang web của bạn bằng `<iframe>`. Đoạn mã nào sau đây là chính xác (giả sử bạn đã tìm được URL nhúng của video)?,"`<iframe title=""Video""></iframe>`","`<iframe src=""video.mp4""></iframe>`","`<iframe src=""[URL_NHUNG_VIDEO]"" width=""560"" height=""315"" frameborder=""0"" allowfullscreen></iframe>`","`<iframe href=""[URL_NHUNG_VIDEO]""></iframe>`",c
HTML_CSS,Mục đích của thẻ `<meta>` trong HTML là gì?,Để định dạng văn bản.,"Để cung cấp thông tin về tài liệu (ví dụ: từ khóa, mô tả).",Để tạo các siêu liên kết.,Để nhúng hình ảnh.,b
HTML_CSS,"Trong CSS, thuộc tính `margin` dùng để làm gì?",Thiết lập màu sắc của phần tử.,Thiết lập độ dày của đường viền.,Thiết lập khoảng cách bên ngoài của phần tử.,Thiết lập khoảng cách bên trong của phần tử.,c
HTML_CSS,Đâu là thẻ HTML dùng để tạo một tiêu đề cấp 2?,`<h1>`,`<h2>`,`<p>`,`<h3>`,b
HTML_CSS,Một trang web sử dụng `<iframe>` để hiển thị nội dung từ một trang web khác. Người dùng tương tác với nội dung trong `<iframe>`. Điều này có ảnh hưởng gì đến trang web gốc?,Trang web gốc sẽ bị ảnh hưởng bởi mọi thay đổi người dùng thực hiện trong iframe.,Trang web gốc sẽ hiển thị một popup.,Trang web gốc không có ảnh hưởng trực tiếp.,Trang web gốc sẽ tự động tải lại.,c
HTML_CSS,Thuộc tính `display: none;` trong CSS có tác dụng gì?,Thay đổi màu sắc của phần tử.,Thay đổi kích thước của phần tử.,"Ẩn phần tử khỏi trang web, không chiếm không gian.","Ẩn phần tử khỏi trang web, nhưng chiếm không gian như bình thường.",d
HTML_CSS,"Nếu bạn muốn tạo một khung (iframe) có chiều cao là 400 pixel và chiều rộng là 600 pixel, bạn sẽ viết như thế nào?","`<iframe height=""600"" width=""400""></iframe>`","`<iframe width=""400"" height=""600""></iframe>`","`<iframe width=""600"" height=""400""></iframe>`","`<iframe size=""600x400""></iframe>`",c
HTML_CSS,Thẻ nào sau đây được sử dụng để nhúng một đoạn âm thanh vào trang web?,`<audio>`,`<sound>`,`<music>`,`<video>`,a
